No;Ruang;Kapasitas;Peserta;Kode MK;Kurikulum;Nama MK;Nama Kelas;Dosen;Waktu;Hari;Jam;Jam Masuk;Jam Keluar;Program Studi
1;A1.09 (Ged Baru);50;35;UIGE600004;01.00.12.01-2024;MPK Agama;Protestan B-Fasilkom;Johanis Putratama Kamuri, M.Th.;Senin, 08:00 - 09:40;Senin;08:00 - 09:40;08:00;09:40;S1 - Ilmu Komputer
2;A1.09 (Ged Baru);50;35;UIGE600004;01.00.12.01-2024;MPK Agama;Protestan B-Fasilkom;Dr. Indri Jatmoko, M.M.;Senin, 08:00 - 09:40;Senin;08:00 - 09:40;08:00;09:40;S1 - Ilmu Komputer
3;A1.09 (Ged Baru);50;45;CSCM602055;01.00.12.01-2024;Sistem Operasi;Sistem Operasi B;Muhammad Mishbah, S.Kom., M.Kom.;Senin, 10:00 - 11:40;Senin;10:00 - 11:40;10:00;11:40;S1 - Ilmu Komputer
4;A1.09 (Ged Baru);50;12;CSCE604156;01.00.12.01-2024;Forensik Digital;Digital Forensics;Amril Syalim, S.Kom., M.Eng., Ph.D.;Senin, 13:00 - 14:40;Senin;13:00 - 14:40;13:00;14:40;S1 - Ilmu Komputer
5;A1.09 (Ged Baru);50;5;CSCE604131;01.00.12.01-2024;Graf Pengetahuan;Knowledge Graph;Dr.rer.nat. Fariz Darari, S.Kom., M.Sc.;Senin, 15:00 - 16:40;Senin;15:00 - 16:40;15:00;16:40;S1 - Ilmu Komputer
6;A1.09 (Ged Baru);50;32;CSCM601252;01.00.12.01-2024;Pengantar Organisasi Komputer;POK;Ir. Adhi Yuniarto Laurentius Yohannes, M.Kom.;Selasa, 15:00 - 16:40;Selasa;15:00 - 16:40;15:00;16:40;S1 - Ilmu Komputer
7;A1.09 (Ged Baru);50;5;CSCE604131;01.00.12.01-2024;Graf Pengetahuan;Knowledge Graph;Dr.rer.nat. Fariz Darari, S.Kom., M.Sc.;Rabu, 09:00 - 09:50;Rabu;09:00 - 09:50;09:00;09:50;S1 - Ilmu Komputer
8;A1.09 (Ged Baru);50;45;CSCM602055;01.00.12.01-2024;Sistem Operasi;Sistem Operasi B;Muhammad Mishbah, S.Kom., M.Kom.;Rabu, 10:00 - 11:40;Rabu;10:00 - 11:40;10:00;11:40;S1 - Ilmu Komputer
9;A1.09 (Ged Baru);50;12;CSCE604156;01.00.12.01-2024;Forensik Digital;Digital Forensics;Amril Syalim, S.Kom., M.Eng., Ph.D.;Rabu, 14:00 - 15:40;Rabu;14:00 - 15:40;14:00;15:40;S1 - Ilmu Komputer
10;A1.09 (Ged Baru);50;32;CSCM601252;01.00.12.01-2024;Pengantar Organisasi Komputer;POK;Ir. Adhi Yuniarto Laurentius Yohannes, M.Kom.;Kamis, 10:00 - 10:50;Kamis;10:00 - 10:50;10:00;10:50;S1 - Ilmu Komputer
